pari_name,section,er2_name,status,note,summary
listput,1,listput,python,use Python,sets n-th element of list equal to x
listsort,1,listsort,python,use Python,sort the list L in place
local,1,local,python,use Python,"declare x,...,z as (dynamically scoped) local variables"
localbitprec,1,localbitprec,python,use Python,set the real precision to p bits in the dynamic scope
localprec,1,localprec,python,use Python,set the real precision to p in the dynamic scope and return p
mapapply,1,mapapply,python,use Python,applies the closure f to the image of x by the map M and returns the evaluation of f
mapdelete,1,mapdelete,python,use Python,removes x from the domain of the map M
mapget,1,mapget,python,use Python,returns the image of x by the map M
mapisdefined,1,mapisdefined,python,use Python,"true (1) if x has an image by the map M, false (0) otherwise"
mapput,1,mapput,python,use Python,associates x to y in the map M
my,1,my,python,use Python,"declare x,...,z as lexically-scoped local variables"
next,1,next,python,use Python,"interrupt execution of current instruction sequence, and start another iteration from the n-th innermost enclosing loops"
parapply,1,parapply,python,use Python,parallel evaluation of f on the elements of x
pareval,1,pareval,python,use Python,parallel evaluation of the elements of the vector of closures x
parfor,1,parfor,python,use Python,"evaluates the expression expr1 in parallel for all i between a and b (if b is set to +oo, the loop will not stop), resul…"
parforeach,1,parforeach,python,use Python,evaluates in parallel the expression expr1 for all components x of V
parforprime,1,parforprime,python,use Python,"evaluates the expression expr1 in parallel for all primes p between a and b (if b is set to +oo, the loop will not stop)…"
parforprimestep,1,parforprimestep,python,use Python,evaluates the expression expr1 in parallel for all primes p between a and b in an arithmetic progression of the form a +…
parforstep,1,parforstep,python,use Python,"evaluates the expression expr1 in parallel for i going from a to b in steps of s (can be a positive real number, an intm…"
parforvec,1,parforvec,python,use Python,"evaluates the sequence expr2 (dependent on X and j) for X as generated by forvec, in random order, computed in parallel"
parselect,1,parselect,python,use Python,(parallel select) selects elements of A according to the selection function f which is tested in parallel
parsum,1,parsum,python,use Python,"the sum (i goes from a to b) of expression expr, evaluated in parallel (in random order)"
parvector,1,parvector,python,use Python,"as vector(N,i,expr) but the evaluations of expr are done in parallel"
print,1,print,python,use Python,outputs its string arguments (in raw format) ending with a newline
print1,1,print1,python,use Python,outputs its string arguments (in raw format) without ending with newline
printf,1,printf,python,use Python,prints its arguments according to the format fmt
printp,1,printp,python,use Python,outputs its string arguments (in prettymatrix format) ending with a newline
printsep,1,printsep,python,use Python,"outputs its string arguments (in raw format), separated by 'sep', ending with a newline"
printsep1,1,printsep1,python,use Python,"outputs its string arguments (in raw format), separated by 'sep', without ending with a newline"
printtex,1,printtex,python,use Python,outputs its string arguments in TeX format
read,1,read,python,use Python,read from the input file filename
readstr,1,readstr,python,use Python,returns the vector of GP strings containing the lines in filename
readvec,1,readvec,python,use Python,create a vector whose components are the evaluation of all the expressions found in the input file filename
return,1,return_,python,use Python,return from current subroutine with result x
select,1,select,python,use Python,selects elements of A according to the selection function f
self,1,self,python,use Python,return the calling function or closure
setdebug,1,setdebug,python,use Python,sets debug level for domain D to n (n must be between 0 and 20)
setrand,1,setrand,python,use Python,reset the seed of the random number generator to n
Strchr,1,Strchr,python,use Python,deprecated alias for strchr
strchr,1,strchr,python,use Python,"converts integer or vector of integers x to a string, translating each integer into a character using ASCII encoding"
Strexpand,1,Strexpand,python,use Python,deprecated alias for strexpand
strexpand,1,strexpand,python,use Python,"concatenates its (string) arguments into a single string, performing tilde expansion"
strjoin,1,strjoin,python,use Python,"joins the strings in vector v, separating them with delimiter p"
Strprintf,1,Strprintf,python,use Python,deprecated alias for strprintf
strprintf,1,strprintf,python,use Python,returns a string built from the remaining arguments according to the format fmt
strsplit,1,strsplit,python,use Python,"splits the string s into a vector of strings, with p acting as a delimiter between successive fields; if p is empty or o…"
Strtex,1,Strtex,python,use Python,deprecated alias for strtex
strtex,1,strtex,python,use Python,translates its (string) arguments to TeX format and returns the resulting string
strtime,1,strtime,python,use Python,"return a string describing the time t in milliseconds, in the format used by the GP timer"
system,1,system,python,use Python,"str being a string, execute the system command str"
trap,1,trap,python,use Python,"this function is obsolete, use ""iferr"""
type,1,type,python,use Python,return the type of the GEN x
unexport,1,unexport,python,use Python,"remove x,...,z from the list of variables exported to the parallel world"
unexportall,1,unexportall,python,use Python,empty the list of variables exported to the parallel world
uninline,1,uninline,python,use Python,forget all inline variables
until,1,until,python,use Python,evaluate the expression sequence seq until a is nonzero
version,1,version,python,use Python,"returns the PARI version as [major,minor,patch] or [major,minor,patch,GITversion]"
warning,1,warning,python,use Python,display warning message str
while,1,while_,python,use Python,while a is nonzero evaluate the expression sequence seq
write,1,write,python,use Python,appends the remaining arguments (same output as print) to filename
write1,1,write1,python,use Python,appends the remaining arguments (same output as print1) to filename
writebin,1,writebin,python,use Python,write x as a binary object to file filename
writetex,1,writetex,python,use Python,"appends the remaining arguments (same format as print) to filename, in TeX format"
cmp,2,cmp,namespace,,"compare two arbitrary objects x and y (1 if x>y, 0 if x=y, -1 if x<y)"
divrem,2,divrem,namespace,,"euclidean division of x by y giving as a 2-dimensional column vector the quotient and the remainder, with respect to v (…"
lex,2,lex,namespace,,"compare x and y lexicographically (1 if x>y, 0 if x=y, -1 if x<y)"
max,2,max,namespace,Python builtin: never shadowed in the prelude,maximum of x and y
min,2,min,namespace,Python builtin: never shadowed in the prelude,minimum of x and y
shift,2,shift,namespace,,"shift x left n bits if n>=0, right -n bits if n<0"
shiftmul,2,shiftmul,namespace,,multiply x by 2^n (n>=0 or n<0)
sign,2,sign,namespace,,"sign of x, of type integer, real or fraction"
vecmax,2,vecmax,namespace,,largest entry in the vector/matrix x
vecmin,2,vecmin,namespace,,smallest entry in the vector/matrix x
binary,3,binary,namespace,,gives the vector formed by the binary digits of x (x integer)
bitand,3,bitand,namespace,,"bitwise ""and"" of two integers x and y"
bitneg,3,bitneg,namespace,,bitwise negation of an integers x truncated to n bits
bitnegimply,3,bitnegimply,namespace,,"bitwise ""negated imply"" of two integers x and y, in other words, x BITAND BITNEG(y)"
bitor,3,bitor,namespace,,"bitwise ""or"" of two integers x and y"
bitprecision,3,bitprecision,namespace,,"if n is present and positive, return x at precision n bits"
bittest,3,bittest,namespace,,gives bit number n (coefficient of 2^n) of the integer x
bitxor,3,bitxor,namespace,,"bitwise ""exclusive or"" of two integers x and y"
ceil,3,ceil,namespace,,ceiling of x = smallest integer >= x
centerlift,3,centerlift,namespace,,centered lift of x
characteristic,3,characteristic,namespace,,characteristic of the base ring over which x is defined
Col,3,Col,namespace,type constructor (CapWords allowed by PEP 8),transforms the object x into a column vector of dimension n
Colrev,3,Colrev,namespace,type constructor (CapWords allowed by PEP 8),"transforms the object x into a column vector of dimension n in reverse order with respect to Col(x,{n})"
component,3,component,namespace,,the n'th component of the internal representation of x
conj,3,conj,namespace,,the algebraic conjugate of x
conjvec,3,conjvec,namespace,,conjugate vector of the algebraic number z
denominator,3,denominator,namespace,,denominator of f
digits,3,digits,namespace,,gives the vector formed by the digits of x in base b
exponent,3,exponent,namespace,,binary exponent of x
floor,3,floor,namespace,,floor of x = largest integer <= x
frac,3,frac,namespace,,fractional part of x = x-floor(x)
fromdigits,3,fromdigits,namespace,,gives the integer formed by the elements of x seen as the digits of a number in base b
imag,3,imag,namespace,,imaginary part of x
length,3,length,namespace,,"number of non code words in x, number of characters for a string"
lift,3,lift,namespace,,"if v is omitted, lifts elements of Z/nZ to Z, of Qp to Q, and of K[x]/(P) to K[x]"
liftall,3,liftall,namespace,,"lifts every element of Z/nZ to Z, of Qp to Q, and of K[x]/(P) to K[x]"
liftint,3,liftint,namespace,,lifts every element of Z/nZ to Z and of Qp to Q
liftpol,3,liftpol,namespace,,lifts every polmod component of x to polynomials
List,3,List,namespace,type constructor (CapWords allowed by PEP 8),transforms the vector or list x into a list
Map,3,Map,namespace,type constructor (CapWords allowed by PEP 8),"converts the matrix [a_1,b_1;a_2,b_2;...;a_n,b_n] to the map a_i->b_i"
Mat,3,Mat,namespace,type constructor (CapWords allowed by PEP 8),transforms any GEN x into a matrix
Mod,3,Mod,namespace,type constructor (CapWords allowed by PEP 8),create 'a modulo b'
norm,3,norm,namespace,,norm of x
numerator,3,numerator,namespace,,numerator of f
oo,3,oo,namespace,,infinity
padicprec,3,padicprec,namespace,,return the absolute p-adic precision of object x
Pol,3,Pol,namespace,type constructor (CapWords allowed by PEP 8),"convert t (usually a vector or a power series) into a polynomial with variable v, starting with the leading coefficient"
Polrev,3,Polrev,namespace,type constructor (CapWords allowed by PEP 8),"convert t (usually a vector or a power series) into a polynomial with variable v, starting with the constant term"
precision,3,precision,namespace,,"if n is present, return x at precision n"
Qfb,3,Qfb,namespace,type constructor (CapWords allowed by PEP 8),binary quadratic form a*x^2+b*x*y+c*y^2
random,3,random,namespace,,"random object, depending on the type of N"
real,3,real,namespace,,real part of x
round,3,round,namespace,Python builtin: never shadowed in the prelude,take the nearest integer to all the coefficients of x
Ser,3,Ser,namespace,type constructor (CapWords allowed by PEP 8),"convert s into a power series with variable v and precision d, starting with the constant coefficient"
serchop,3,serchop,namespace,,remove all terms of degree strictly less than n in series s
serprec,3,serprec,namespace,,return the absolute precision x with respect to power series in the variable v
Set,3,Set,namespace,type constructor (CapWords allowed by PEP 8),"convert x into a set, i.e"
simplify,3,simplify,namespace,,simplify the object x as much as possible
sizebyte,3,sizebyte,namespace,,number of bytes occupied by the complete tree of the object x
sizedigit,3,sizedigit,namespace,,rough upper bound for the number of decimal digits of (the components of) x
Str,3,Str,namespace,type constructor (CapWords allowed by PEP 8),concatenates its (string) argument into a single string
truncate,3,truncate,namespace,,"truncation of x; when x is a power series,take away the O(X^)"
valuation,3,valuation,prelude,,valuation of x with respect to p
varhigher,3,varhigher,namespace,,return a variable 'name' whose priority is higher than the priority of v (of all existing variables if v is omitted)
variable,3,variable,namespace,,main variable of object x
variables,3,variables,namespace,,"all variables occurring in object x, sorted by decreasing priority"
varlower,3,varlower,namespace,,return a variable 'name' whose priority is lower than the priority of v (of all existing variables if v is omitted
Vec,3,Vec,namespace,type constructor (CapWords allowed by PEP 8),transforms the object x into a vector of dimension n
Vecrev,3,Vecrev,namespace,type constructor (CapWords allowed by PEP 8),"transforms the object x into a vector of dimension n in reverse order with respect to Vec(x,{n})"
Vecsmall,3,Vecsmall,namespace,type constructor (CapWords allowed by PEP 8),transforms the object x into a VECSMALL of dimension n
bernfrac,4,bernfrac,namespace,,"Bernoulli number B_n, as a rational number"
bernpol,4,bernpol,namespace,,"Bernoulli polynomial B_n, evaluated at a"
bernreal,4,bernreal,namespace,,"Bernoulli number B_n, as a real number with the current precision"
bernvec,4,bernvec,namespace,,"returns a vector containing, as rational numbers, the Bernoulli numbers B_0, B_2, ..., B_{2n}"
binomial,4,binomial,prelude,,binomial coefficient n*(n-1)...*(n-k+1)/k! defined for k in Z and any n
eulerfrac,4,eulerfrac,namespace,,"Euler number E_n, as a rational number"
eulerianpol,4,eulerianpol,namespace,,"Eulerian polynomial A_n, in variable v"
eulerpol,4,eulerpol,namespace,,"Euler polynomial E_n, in variable v"
eulerreal,4,eulerreal,namespace,,"Euler number E_n, as a real number"
eulervec,4,eulervec,namespace,,"returns a vector containing the nonzero Euler numbers E_0, E_2, ..., E_{2n}"
fibonacci,4,fibonacci,prelude,,Fibonacci number of index x
hammingweight,4,hammingweight,namespace,,returns the Hamming weight of x
harmonic,4,harmonic,namespace,,generalized harmonic number of index n in power r
numbpart,4,numbpart,namespace,,number of partitions of n
numtoperm,4,numtoperm,namespace,,permutation number k (mod n!) of n letters (n C-integer)
partitions,4,partitions,namespace,,vector of partitions of the integer k
permcycles,4,permcycles,namespace,,cycles of the permutation x
permorder,4,permorder,namespace,,order of the permutation x
permsign,4,permsign,namespace,,signature of the permutation x
permtonum,4,permtonum,namespace,,ordinal (between 0 and n!-1) of permutation x
stirling,4,stirling,namespace,,"if flag=1 (default) return the Stirling number of the first kind s(n,k), if flag=2, return the Stirling number of the se…"
addprimes,5,addprimes,namespace,,add primes in the vector x to the prime table to be used in trial division
bestappr,5,bestappr,namespace,,"return a rational approximation to x, whose denominator is limited by B, if present"
bestapprPade,5,bestappr_pade,namespace,renamed for PEP 8,returns a rational function approximation to x
bezout,5,bezout,namespace,,deprecated alias for gcdext
bigomega,5,bigomega,prelude,"draft `Omega`, renamed for PEP 8 (D8)","number of prime divisors of x, counted with multiplicity"
charconj,5,charconj,namespace,,"given a finite abelian group (by its elementary divisors cyc) and a character chi, return the conjugate character"
chardiv,5,chardiv,namespace,,"given a finite abelian group (by its elementary divisors cyc) and two characters a and b, return the character a/b"
chareval,5,chareval,namespace,,"given an abelian group structure affording a discrete logarithm method, e.g"
chargalois,5,chargalois,namespace,,"let cyc represent a finite abelian group G by its elementary divisors cyc, return a list of representatives for the Galo…"
charker,5,charker,namespace,,"given a finite abelian group (by its elementary divisors cyc) and a character chi, return its kernel"
charmul,5,charmul,namespace,,"given a finite abelian group (by its elementary divisors cyc) and two characters a and b, return the product character a…"
charorder,5,charorder,namespace,,"given a finite abelian group (by its elementary divisors cyc) and a character chi, return the order of chi"
charpow,5,charpow,namespace,,given a finite abelian group (by its elementary divisors cyc) a character a and an integer n return the character a^n
chinese,5,chinese,prelude,,"x,y being both intmods (or polmods) computes z in the same residue classes as x and y"
content,5,content,namespace,,"gcd of all the components of x, when this makes sense"
contfrac,5,contfrac,namespace,,"continued fraction expansion of x (x rational,real or rational function)"
contfracpnqn,5,contfracpnqn,namespace,,"[p_n,p_{n-1}; q_n,q_{n-1}] corresponding to the continued fraction x"
core,5,core,prelude,,unique squarefree integer d dividing n such that n/d is a square
coredisc,5,coredisc,namespace,,discriminant of the quadratic field Q(sqrt(n))
dirdiv,5,dirdiv,namespace,,division of the Dirichlet series x by the Dirichlet series y
direuler,5,direuler,namespace,,"Dirichlet Euler product of expression expr from p=a to p=b, limited to b terms"
dirmul,5,dirmul,namespace,,multiplication of the Dirichlet series x by the Dirichlet series y
dirpowerssum,5,dirpowerssum,namespace,,return f(1)1^x + f(2)2^x + 
divisors,5,divisors,prelude,,gives a vector formed by the divisors of x in increasing order
divisorslenstra,5,divisorslenstra,namespace,,finds all divisors d of N such that d = r (mod s)
eulerphi,5,phi,prelude,draft name,Euler's totient function of x
factor,5,factor,prelude,"dispatch: integers -> PARI, Expr -> SymPy",factorization of x over domain D
factorback,5,factorback,namespace,,"given a factorization f, gives the factored object back"
factorcantor,5,factorcantor,namespace,,"this function is obsolete, use factormod"
factorff,5,factorff,namespace,,"obsolete, use factormod"
factorial,5,factorial,namespace,PARI returns a real; ER2 `factorial` must be exact,"factorial of x, the result being given as a real number"
factorint,5,factorint,namespace,,factor the integer x
factormod,5,factormod,namespace,,"factors the polynomial f over the finite field defined by the domain D; flag is optional, and can be 0: default or 1: on…"
factormodcyclo,5,factormodcyclo,namespace,,factor n-th cyclotomic polynomial mod p
factormodDDF,5,factormod_ddf,namespace,renamed for PEP 8,distinct-degree factorization of the squarefree polynomial f over the finite field defined by the domain D
factormodSQF,5,factormod_sqf,namespace,renamed for PEP 8,squarefree factorization of the polynomial f over the finite field defined by the domain D
ffcompomap,5,ffcompomap,namespace,,"Let k, l, m be three finite fields and f a (partial) map from l to m and g a partial map from k to l, return the (partia…"
ffembed,5,ffembed,namespace,,"given two elements a and b in finite fields, return a map embedding the definition field of a to the definition field of…"
ffextend,5,ffextend,namespace,,"extend the field K of definition of a by a root of the polynomial P, assumed to be irreducible over K"
fffrobenius,5,fffrobenius,namespace,,return the n-th power of the Frobenius map over the field of definition of m
ffgen,5,ffgen,namespace,,return a generator of the finite field k (not necessarily a generator of its multiplicative group) as a t_FFELT
ffinit,5,ffinit,namespace,,monic irreducible polynomial of degree n in F_p[v]
ffinvmap,5,ffinvmap,namespace,,"given a map m between finite fields, return a partial map that return the pre-images by the map m"
fflog,5,fflog,namespace,,return the discrete logarithm of the finite field element x in base g
ffmap,5,ffmap,namespace,,"given a (partial) map m between two finite fields, return the image of x by m"
ffmaprel,5,ffmaprel,namespace,,"given a (partial) map m between two finite fields, express x as an algebraic element over the codomain of m in a way whi…"
ffnbirred,5,ffnbirred,namespace,,"number of monic irreducible polynomials over F_q, of degree n (flag=0, default) or at most n (flag=1)"
fforder,5,fforder,namespace,,multiplicative order of the finite field element x
ffprimroot,5,ffprimroot,namespace,,return a primitive root of the multiplicative group of the definition field of the finite field element x (not necessari…
gcd,5,gcd,prelude,,greatest common divisor of x and y
gcdext,5,gcdext,namespace,,"returns [u,v,d] such that d=gcd(x,y) and u*x+v*y=d"
halfgcd,5,halfgcd,namespace,,"return a vector [M, [a,b]~], where M is an invertible 2x2 matrix such that M*[x,y]~ = [a,b]~, where b is small"
hilbert,5,hilbert,namespace,,"Hilbert symbol at p of x,y"
isfundamental,5,isfundamental,namespace,,"true(1) if D is a fundamental discriminant (including 1), false(0) if not"
ispolygonal,5,ispolygonal,namespace,,"true(1) if x is an s-gonal number, false(0) if not (s > 2)"
ispower,5,ispower,prelude,,"if k > 0 is given, return true (1) if x is a k-th power, false (0) if not"
ispowerful,5,ispowerful,namespace,,"true(1) if x is a powerful integer (valuation at all primes dividing x is greater than 1), false(0) if not"
isprime,5,isprime,prelude,,"true(1) if x is a (proven) prime number, false(0) if not"
isprimepower,5,isprimepower,prelude,,"if x = p^k is a prime power (p prime, k > 0), return k, else return 0"
ispseudoprime,5,ispseudoprime,prelude,,"true(1) if x is a strong pseudoprime, false(0) if not"
ispseudoprimepower,5,ispseudoprimepower,namespace,,"if x = p^k is a pseudo-prime power (p pseudo-prime, k > 0), return k, else return 0"
issquare,5,issquare,prelude,,"true(1) if x is a square, false(0) if not"
issquarefree,5,issquarefree,prelude,,"true(1) if x is squarefree, false(0) if not"
istotient,5,istotient,namespace,,"true(1) if x = eulerphi(n) for some integer n, false(0) if not"
kronecker,5,kronecker,prelude,,kronecker symbol (x/y)
lcm,5,lcm,prelude,,"least common multiple of x and y, i.e"
logint,5,logint,namespace,,"return the largest non-negative integer e so that b^e <= x, where b > 1 is an integer and x >= 1 is a real number"
moebius,5,mu,prelude,draft name,Moebius function of x
nextprime,5,nextprime,prelude,,smallest pseudoprime >= x
numdiv,5,numdiv,prelude,,number of divisors of x
omega,5,omega,prelude,,number of distinct prime divisors of x
precprime,5,precprime,prelude,,"largest pseudoprime <= x, 0 if x<=1"
prime,5,prime,prelude,,returns the n-th prime (n C-integer)
primecert,5,primecert,namespace,,"If N is a prime, return a Primality Certificate"
primecertexport,5,primecertexport,namespace,,Returns a string suitable for print/write to display a primality certificate
primecertisvalid,5,primecertisvalid,namespace,,Verifies if cert is a valid PARI ECPP Primality certificate
primepi,5,primepi,prelude,,"the prime counting function pi(x) = #{p <= x, p prime}"
primes,5,primes,prelude,,"returns the vector of the first n primes (integer), or the primes in interval n = [a,b]"
qfbclassno,5,qfbclassno,namespace,,class number of discriminant D using Shanks's method by default
qfbcomp,5,qfbcomp,namespace,,Gaussian composition with reduction of the binary quadratic forms x and y
qfbcompraw,5,qfbcompraw,namespace,,Gaussian composition without reduction of the binary quadratic forms x and y
qfbcornacchia,5,qfbcornacchia,namespace,,Solves the equation x^2+dy^2 = n in integers x and y where d > 0 and n is prime or 4 times a prime
qfbhclassno,5,qfbhclassno,namespace,,Hurwitz-Kronecker class number of x>0
qfbnucomp,5,qfbnucomp,namespace,,"composite of primitive positive definite quadratic forms x and y using nucomp and nudupl, where L=[|D/4|^(1/4)] is preco…"
qfbnupow,5,qfbnupow,namespace,,n-th power of primitive positive definite quadratic form x using nucomp and nudupl
qfbpow,5,qfbpow,namespace,,n-th power with reduction of the binary quadratic form x
qfbpowraw,5,qfbpowraw,namespace,,n-th power without reduction of the binary quadratic form x
qfbprimeform,5,qfbprimeform,namespace,,"returns the prime form of discriminant x, whose first coefficient is p"
qfbred,5,qfbred,namespace,,reduction of the binary quadratic form x
qfbredsl2,5,qfbredsl2,namespace,,"reduction of the binary quadratic form x, returns [y,g] where y is reduced and g in Sl(2,Z) is such that g.x = y; isD, i…"
qfbsolve,5,qfbsolve,namespace,,"Solve the equation Q(x,y)=n in coprime integers x and y where Q is a binary quadratic form, up to the action of the spec…"
quadclassunit,5,quadclassunit,namespace,,compute the structure of the class group and the regulator of the quadratic field of discriminant D
quaddisc,5,quaddisc,namespace,,discriminant of the quadratic field Q(sqrt(x))
quadgen,5,quadgen,namespace,,standard generator g of quadratic order of discriminant D
quadhilbert,5,quadhilbert,namespace,,relative equation for the Hilbert class field of the quadratic field of discriminant D (which can also be a bnf)
quadpoly,5,quadpoly,namespace,,"quadratic polynomial corresponding to the discriminant D, in variable v"
quadray,5,quadray,namespace,,relative equation for the ray class field of conductor f for the quadratic field of discriminant D (which can also be a …
quadregulator,5,quadregulator,namespace,,regulator of the real quadratic field of discriminant D
quadunit,5,quadunit,namespace,,fundamental unit u of the quadratic order of discriminant D where D must be positive
quadunitindex,5,quadunitindex,namespace,,"given a fundamental discriminant D, returns the index of the unit group of the order of conductor f"
quadunitnorm,5,quadunitnorm,namespace,,returns the norm of the fundamental unit of the quadratic order of discriminant D
ramanujantau,5,ramanujantau,namespace,,"compute the value of Ramanujan's tau function at n, assuming the GRH"
randomprime,5,randomprime,namespace,,"returns a strong pseudo prime in [2, N-1]"
removeprimes,5,removeprimes,namespace,,remove primes in the vector x from the prime table
sigma,5,sigma,prelude,,sum of the k-th powers of the divisors of x
sqrtint,5,sqrtint,prelude,,"integer square root y of x, where x is a nonnegative real number"
sqrtnint,5,sqrtnint,namespace,,"integer n-th root of x, where x is nonnegative real number"
sumdedekind,5,sumdedekind,namespace,,"Dedekind sum attached to h,k"
sumdigits,5,sumdigits,namespace,,"sum of digits in the integer n, when written in base B"
znchar,5,znchar,namespace,,"given a datum D describing a group G = (Z/NZ)^* and a Dirichlet character chi, return the pair [G,chi]"
zncharconductor,5,zncharconductor,namespace,,"let G be znstar(q,1) and chi be a Dirichlet character on (Z/qZ)*"
znchardecompose,5,znchardecompose,namespace,,"given a znstar G = (Z/NZ)^* and a Dirichlet character chi, return the product of local characters chi_p for p | (N,Q)"
znchargauss,5,znchargauss,namespace,,"given a Dirichlet character chi on G = (Z/NZ)^*, return the complex Gauss sum g(chi,a)"
zncharinduce,5,zncharinduce,namespace,,"let G be znstar(q,1), let chi be a Dirichlet character mod q and let N be a multiple of q"
zncharisodd,5,zncharisodd,namespace,,"let G be znstar(N,1), let chi be a Dirichlet character mod N, return 1 if and only if chi(-1) = -1 and 0 otherwise"
znchartokronecker,5,znchartokronecker,namespace,,"let G be znstar(N,1), let chi be a Dirichlet character mod N, return the discriminant D if chi is real equal to the Kron…"
znchartoprimitive,5,znchartoprimitive,namespace,,"let G be znstar(q,1) and chi be a Dirichlet character on (Z/qZ)* of conductor q0"
znconreychar,5,znconreychar,namespace,,"Dirichlet character attached to m in (Z/qZ)* in Conrey's notation, where G is znstar(q,1)"
